#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |rands/second|   Seed   |
stdin_input_raw|  1.81e+07  |1650657279|
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.29962040|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.02079250|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.96476507|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.03584945|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.42617888|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.88099600|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.43576416|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.69057271|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.90819021|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.67074538|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.99910164|   WEAK   
      rgb_lagged_sum|  31|   1000000|     100|0.87575195|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.62756646|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.02122644|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.65816162|  PASSED  
             dab_dct| 256|     50000|       1|0.90074205|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.36100580|  PASSED  
        dab_filltree|  32|  15000000|       1|0.54061404|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.21848016|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.11229417|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.28388939|  PASSED  
